,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id
215,4176,Murder on the Orient Express,7.154,1974,11,"[18, 53, 9648]",1400000.0,35700000.0,128,39996
216,5919,The Towering Inferno,7.021,1974,12,"[28, 18, 53]",14000000.0,116000000.0,165,6778
217,6916,"Watch Out, We're Mad",7.428,1974,3,"[28, 35]",1600000.0,36782781.0,102,51421
218,27327,Phantom of the Paradise,7.5,1974,10,"[10402, 35, 27]",1300000.0,250000.0,92,1150
219,3133,Badlands,7.5,1974,1,"[80, 18, 10749]",300000.0,35700000.0,94,30715
220,16938,Black Christmas,6.927,1974,10,"[27, 9648, 53]",620000.0,4100000.0,98,12698
221,42269,We All Loved Each Other So Much,8.237,1974,12,"[18, 35]",1600000.0,35700000.0,124,31894
222,1410,Dark Star,6.0,1974,4,"[35, 878]",60000.0,35700000.0,83,11770
223,578,Jaws,7.661,1975,6,"[27, 53, 12]",7000000.0,470653000.0,124,488
224,510,One Flew Over the Cuckoo's Nest,8.421,1975,11,[18],3000000.0,108981275.0,133,3974
225,11963,Three Days of the Condor,7.306,1975,8,"[53, 9648]",7800000.0,41509797.0,117,2226
226,3175,Barry Lyndon,8.003,1975,12,"[18, 10749, 10752]",11000000.0,198992.0,185,240
227,36685,The Rocky Horror Picture Show,7.466,1975,8,"[35, 878, 14, 27]",1200000.0,112892319.0,100,13484
228,762,Monty Python and the Holy Grail,7.803,1975,3,"[12, 35, 14]",400000.0,5000000.0,91,280
229,11843,The Return of the Pink Panther,6.794,1975,5,"[35, 80, 9648]",5000000.0,41833347.0,113,1927
230,1396,Mirror,7.975,1975,3,"[18, 36]",825370.0,119266.0,107,8452
231,968,Dog Day Afternoon,7.8,1975,9,"[80, 18, 53]",1800000.0,46665856.0,125,39996
232,20126,Deep Red,7.776,1975,3,"[27, 9648, 53]",3000000.0,2900000.0,127,4955
233,11686,Love and Death,7.55,1975,6,"[35, 10752]",3000000.0,20173742.0,85,1243
234,983,The Man Who Would Be King,7.501,1975,12,"[12, 18]",8000000.0,12678.0,129,6593
235,11020,Picnic at Hanging Rock,7.23,1975,9,"[18, 9648]",3000000.0,84744.0,115,2690
236,27429,Shivers,6.38,1975,9,"[27, 878]",179000.0,1000000.0,88,224
237,25606,White Collar Blues,7.802,1975,3,[35],3000000.0,12586871.0,108,31898
238,20914,My Friends,8.137,1975,10,[35],3000000.0,12586871.0,140,32375
239,103,Taxi Driver,8.153,1976,2,"[80, 18]",1900000.0,28600000.0,114,1032
240,1366,Rocky,7.79,1976,11,[18],1000000.0,225300000.0,120,16513
241,7340,Carrie,7.307,1976,11,"[27, 53]",1800000.0,33800000.0,98,1150
242,10649,The Enforcer,6.8,1976,12,"[80, 28]",9000000.0,46236000.0,96,66222
243,794,The Omen,7.395,1976,6,"[27, 53]",2800000.0,60922980.0,111,7187
244,5879,In the Realm of the Senses,6.615,1976,9,"[18, 10749]",3800000.0,32155523.5,105,46230
245,10730,King Kong,6.215,1976,9,"[12, 14]",23000000.0,90614445.0,134,6778
246,10747,The Outlaw Josey Wales,7.452,1976,6,[37],3700000.0,31800000.0,135,190
247,10774,Network,7.82,1976,11,[18],3800000.0,23700000.0,122,39996
248,10518,Marathon Man,7.223,1976,10,[53],6500000.0,21709020.0,125,19304
249,891,All the President's Men,7.674,1976,4,"[18, 36, 9648, 53]",8500000.0,70600000.0,138,6349
250,3870,1900,7.872,1976,8,"[18, 36]",9000000.0,32155523.5,316,4956
251,9385,The Twelve Tasks of Asterix,7.33,1976,6,"[10751, 16, 35, 12]",3800000.0,32155523.5,82,24530
252,5336,"Salò, or the 120 Days of Sodom",6.4,1976,1,"[18, 27]",800000.0,1800000.0,117,5970
253,11482,The Tenant,7.653,1976,5,"[53, 27, 9648]",3800000.0,5100000.0,126,3556
254,10803,Logan's Run,6.6,1976,6,"[28, 878]",9000000.0,25000000.0,119,20412
255,761,The Wing or the Thigh?,7.2,1976,10,[35],5133623.0,32155523.5,104,11201
256,6037,Murder by Death,7.194,1976,6,"[35, 80, 9648, 53]",3800000.0,32511047.0,94,47498
257,17814,Assault on Precinct 13,7.276,1976,10,"[53, 28, 80]",150000.0,32155523.5,91,11770
258,37769,The Second Tragic Fantozzi,7.532,1976,4,[35],3800000.0,32155523.5,110,31898
259,11,Star Wars,8.204,1977,5,"[12, 28, 878]",11000000.0,775398007.0,121,1
260,691,The Spy Who Loved Me,6.8,1977,7,"[12, 28, 53]",13000000.0,185438673.0,125,10076
261,11319,The Rescuers,6.775,1977,6,"[14, 10751, 16, 12]",7500000.0,169000000.0,78,57314
262,703,Annie Hall,7.752,1977,4,"[35, 18, 10749]",4000000.0,38288028.0,93,1243
263,250480,The Many Adventures of Winnie the Pooh,7.252,1977,3,"[16, 10751, 12]",7500000.0,88725000.0,74,57314
264,11906,Suspiria,7.515,1977,2,[27],7500000.0,2900000.0,99,4955
265,840,Close Encounters of the Third Kind,7.358,1977,12,"[878, 18]",20000000.0,306889114.0,135,488
266,11586,Exorcist II: The Heretic,4.545,1977,6,"[18, 27, 53]",14000000.0,30800000.0,117,19665
267,11009,Saturday Night Fever,6.7,1977,12,"[10402, 18]",3500000.0,237100000.0,119,12840
268,11114,Pete's Dragon,6.321,1977,11,"[14, 16, 35, 10751]",10000000.0,88725000.0,128,25558
269,985,Eraserhead,7.397,1977,3,[27],100000.0,7000000.0,89,5602
270,5902,A Bridge Too Far,7.227,1977,6,"[18, 36, 10752]",22000000.0,50750000.0,175,4786
271,19067,The Duellists,7.273,1977,8,"[18, 10752]",900000.0,88725000.0,100,578
272,11689,Crime Busters,6.95,1977,4,"[28, 35]",7500000.0,88725000.0,115,56033
273,12262,The Hills Have Eyes,6.166,1977,7,"[27, 53]",325000.0,25000000.0,90,5140
274,11006,Smokey and the Bandit,6.967,1977,5,"[28, 12, 35]",4300000.0,126700000.0,96,67767
275,25623,House,7.337,1977,8,"[35, 14, 27]",7500000.0,88725000.0,88,132305
276,42229,A Special Day,8.04,1977,8,"[18, 10749]",7500000.0,88725000.0,106,31894
277,621,Grease,7.395,1978,7,"[10749, 35]",6000000.0,396300000.0,110,8876
278,1924,Superman,7.129,1978,12,"[878, 28, 12]",55000000.0,300218018.0,143,7187
279,948,Halloween,7.6,1978,10,"[27, 53]",325000.0,70300000.0,91,11770
280,11778,The Deer Hunter,8.009,1978,12,"[18, 10752]",15000000.0,49000000.0,183,12114
281,579,Jaws 2,6.0,1978,6,"[27, 53]",20000000.0,187884007.0,117,16187
282,923,Dawn of the Dead,7.496,1978,9,[27],650000.0,55000000.0,127,14999
