id,title,vote_average,vote_count,release_date,year,month,genre_ids,original_language,popularity
985,Eraserhead,7.397,2269,1977-03-19,1977,03,[27],en,24.04
5902,A Bridge Too Far,7.227,761,1977-06-15,1977,06,"[18, 36, 10752]",en,20.416
19067,The Duellists,7.273,505,1977-08-31,1977,08,"[18, 10752]",en,17.68
11689,Crime Busters,6.95,601,1977-04-01,1977,04,"[28, 35]",it,17.27
12262,The Hills Have Eyes,6.166,827,1977-07-22,1977,07,"[27, 53]",en,16.729
11006,Smokey and the Bandit,6.967,670,1977-05-26,1977,05,"[28, 12, 35]",en,16.55
25623,House,7.337,596,1977-08-26,1977,08,"[35, 14, 27]",ja,14.489
42229,A Special Day,8.04,615,1977-08-11,1977,08,"[18, 10749]",it,14.331
621,Grease,7.395,6919,1978-07-07,1978,07,"[10749, 35]",en,62.565
1924,Superman,7.129,3593,1978-12-14,1978,12,"[878, 28, 12]",en,60.391
948,Halloween,7.6,5249,1978-10-24,1978,10,"[27, 53]",en,55.557
11778,The Deer Hunter,8.009,3596,1978-12-08,1978,12,"[18, 10752]",en,43.773
579,Jaws 2,6.0,1783,1978-06-16,1978,06,"[27, 53]",en,34.753
923,Dawn of the Dead,7.496,1947,1978-09-02,1978,09,[27],en,34.115
123,The Lord of the Rings,6.57,819,1978-11-15,1978,11,"[12, 16, 14]",en,32.485
4192,Death on the Nile,7.158,729,1978-09-29,1978,09,[9648],en,28.963
11327,Midnight Express,7.5,1603,1978-08-31,1978,08,"[18, 80]",en,27.238
11850,Invasion of the Body Snatchers,7.2,996,1978-12-20,1978,12,"[878, 27]",en,24.967
24831,Piranha,5.929,609,1978-08-03,1978,08,"[27, 35, 878]",en,24.016
8469,Animal House,6.997,1442,1978-07-28,1978,07,[35],en,22.889
11230,Drunken Master,7.362,878,1978-10-05,1978,10,"[28, 35]",cn,22.509
11837,Watership Down,7.18,581,1978-10-14,1978,10,"[12, 16, 18]",en,22.236
13333,Game of Death,6.416,629,1978-03-23,1978,03,"[18, 28, 53]",cn,21.554
25239,Day of the Woman,5.927,556,1978-11-02,1978,11,"[27, 53]",en,20.175
16642,Days of Heaven,7.486,935,1978-09-13,1978,09,"[18, 10749]",en,18.819
10766,Damien: Omen II,6.447,638,1978-06-09,1978,06,"[27, 53]",en,16.619
11183,French Fried Vacation,6.584,843,1978-11-11,1978,11,[35],fr,16.356
11455,Up in Smoke,6.687,524,1978-05-16,1978,05,[35],en,15.442
12761,Autumn Sonata,8.007,541,1978-10-08,1978,10,[18],sv,14.443
348,Alien,8.15,13695,1979-05-25,1979,05,"[27, 878]",en,105.455
