,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western
148,12335,Bedknobs and Broomsticks,7.046,1971,10,"[12, 14, 35, 10751, 10402, 16]",20000000.0,17900000.0,117,5834,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
149,336,"Duck, You Sucker",7.711,1971,10,[37],,,157,4385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,25188,The Last Picture Show,7.638,1971,10,[18],1300000.0,29133000.0,119,39012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,11234,The Omega Man,6.167,1971,8,"[878, 28]",,8720000.0,98,68682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152,1051,The French Connection,7.538,1971,10,"[28, 80, 53]",1800000.0,41200000.0,104,15175,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
153,10514,The Andromeda Strain,7.065,1971,3,"[878, 53]",6500000.0,12376563.0,131,1744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
154,994,Straw Dogs,7.15,1971,11,"[18, 53]",2200000.0,3251794.0,116,7767,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
155,343,Harold and Maude,7.6,1971,12,"[35, 18, 10749]",1200000.0,,91,4964,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
156,636,THX 1138,6.5,1971,3,"[878, 28, 18]",777000.0,2437000.0,86,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
157,11829,Trinity Is Still My Name,7.4,1971,10,"[35, 37]",,2100000.0,117,56033,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,14257,Delusions of Grandeur,7.437,1971,12,"[35, 36]",,,108,11195,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,238,The Godfather,8.695,1972,3,"[18, 80]",6000000.0,245066411.0,175,1776,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
160,9462,The Way of the Dragon,7.379,1972,6,"[28, 80]",130000.0,27000000.0,100,19429,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
161,11713,Fist of Fury,7.263,1972,3,"[18, 28, 53]",100000.0,,108,70334,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
162,1643,Last Tango in Paris,6.984,1972,10,"[18, 10749]",1250000.0,36182181.0,129,4956,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
